Temperature,CO2,VOC,Time
26.0625,400,0,00:55:46
26.0625,400,0,00:55:47
26.0625,400,0,00:55:48
26.125,400,0,00:55:49
26.125,400,0,00:55:51
26.125,400,0,00:55:52
26.0625,400,0,00:55:53
26.125,400,0,00:55:54
26.125,400,0,00:55:56
26.125,400,0,00:55:57
26.125,400,0,00:55:58
26.0625,400,0,00:55:59
26.125,400,0,00:56:01
26.125,400,0,00:56:02
26.125,400,0,00:56:03
26.1875,400,0,00:56:04
26.125,400,0,00:56:05
26.125,400,0,00:56:07
26.0625,400,0,00:56:08
26.125,400,0,00:56:09
26.125,400,0,00:56:10
26.0625,400,0,00:56:12
26.0625,400,0,00:56:13
26.125,400,0,00:56:14
26.125,400,0,00:56:15
26.125,400,0,00:56:17
26.125,400,0,00:56:18
26.0625,400,0,00:56:19
26.125,400,0,00:56:20
26.125,400,0,00:56:21
26.0625,400,0,00:56:23
26.125,400,0,00:56:24
26.0625,400,0,00:56:25
26.0625,400,0,00:56:26
26.125,400,0,00:56:28
26.125,400,0,00:56:29
26.0625,400,0,00:56:30
26.0625,400,0,00:56:31
26.125,400,0,00:56:33
26.0625,400,0,00:56:34
26.0625,400,0,00:56:35
26.125,400,0,00:56:36
26.0625,400,0,00:56:38
26.0625,400,0,00:56:39
26.125,400,0,00:56:40
26.0625,400,0,00:56:41
26.0,400,0,00:56:42
26.0625,400,0,00:56:44
26.0625,400,0,00:56:45
26.0625,400,0,00:56:46
26.0625,400,0,00:56:47
26.0625,400,0,00:56:49
26.0625,400,0,00:56:50
26.0625,400,0,00:56:51
26.0625,400,0,00:56:52
26.0625,400,0,00:56:54
26.0625,400,0,00:56:55
26.0625,400,0,00:56:56
26.0,400,0,00:56:57
26.0625,400,0,00:56:59
26.0625,400,0,00:57:00
26.0,400,0,00:57:01
26.0,400,0,00:57:02
26.0,400,0,00:57:03
26.0,400,0,00:57:05
26.0,400,0,00:57:06
26.0625,400,0,00:57:07
25.9375,400,0,00:57:08
25.9375,400,0,00:57:10
26.0,400,0,00:57:11
25.9375,400,0,00:57:12
25.9375,400,0,00:57:13
25.9375,400,0,00:57:15
25.9375,400,0,00:57:16
25.9375,400,0,00:57:17
25.9375,400,0,00:57:18
25.9375,400,0,00:57:19
25.9375,400,0,00:57:21
25.9375,400,0,00:57:22
25.9375,400,0,00:57:23
25.875,400,0,00:57:24
25.9375,400,0,00:57:26
25.875,400,0,00:57:27
25.875,400,0,00:57:28
25.9375,400,0,00:57:29
25.875,400,0,00:57:31
25.875,400,0,00:57:32
25.875,400,0,00:57:33
25.8125,400,0,00:57:34
25.6875,400,0,00:57:36
25.4375,400,0,00:57:37
25.0,400,0,00:57:38
24.75,400,0,00:57:39
24.3125,400,0,00:57:40
23.875,400,0,00:57:42
23.375,400,0,00:57:43
22.875,400,0,00:57:44
22.3125,400,0,00:57:45
21.9375,400,0,00:57:47
21.6875,400,0,00:57:48
21.375,400,0,00:57:49
21.375,400,0,00:57:50
21.1875,400,0,00:57:52
21.1875,400,0,00:57:53
20.875,400,0,00:57:54
20.5,400,0,00:57:55
20.5625,400,0,00:57:56
20.5,400,0,00:57:58
20.375,400,0,00:57:59
20.125,400,0,00:58:00
19.875,400,0,00:58:01
19.8125,400,0,00:58:03
19.75,400,0,00:58:04
19.8125,400,0,00:58:05
19.8125,400,0,00:58:06
19.5625,400,0,00:58:08
19.375,400,0,00:58:09
19.375,400,0,00:58:10
19.25,400,0,00:58:11
18.9375,400,0,00:58:13
18.75,400,0,00:58:14
18.5625,400,0,00:58:15
18.1875,400,0,00:58:16
17.9375,400,0,00:58:17
17.75,400,0,00:58:19
17.625,400,0,00:58:20
17.25,400,0,00:58:21
17.0625,400,0,00:58:22
16.9375,400,0,00:58:24
16.9375,400,0,00:58:25
17.0,400,0,00:58:26
16.875,400,0,00:58:27
16.75,400,0,00:58:29
16.625,400,0,00:58:30
16.5625,400,0,00:58:31
16.5,400,0,00:58:32
16.5625,400,0,00:58:34
16.5625,400,0,00:58:35
16.5,400,0,00:58:36
16.5,400,0,00:58:37
16.4375,400,0,00:58:38
16.3125,400,0,00:58:40
16.25,400,0,00:58:41
16.125,400,0,00:58:42
16.1875,400,0,00:58:43
16.1875,400,0,00:58:45
16.1875,400,0,00:58:46
16.125,400,0,00:58:47
16.125,400,0,00:58:48
16.0,400,0,00:58:50
15.9375,400,0,00:58:51
15.875,400,0,00:58:52
15.75,400,0,00:58:53
15.6875,400,0,00:58:54
15.75,400,0,00:58:56
15.6875,400,0,00:58:57
15.5,400,0,00:58:58
15.375,400,0,00:58:59
15.0625,400,0,00:59:01
14.9375,400,0,00:59:02
14.875,400,0,00:59:03
14.8125,400,0,00:59:04
14.8125,400,0,00:59:06
14.8125,400,0,00:59:07
14.75,400,0,00:59:08
14.6875,400,0,00:59:09
14.5625,400,0,00:59:11
14.5,400,0,00:59:12
14.4375,400,0,00:59:13
14.3125,400,0,00:59:14
14.25,400,0,00:59:15
14.125,400,0,00:59:17
14.0625,400,0,00:59:18
14.125,400,0,00:59:19
14.0625,400,0,00:59:20
14.0,400,0,00:59:22
13.9375,400,0,00:59:23
13.875,400,0,00:59:24
13.8125,400,0,00:59:25
13.75,400,0,00:59:27
13.75,400,0,00:59:28
13.75,400,0,00:59:29
13.625,400,0,00:59:30
13.625,400,0,00:59:31
13.5625,400,0,00:59:33
13.5,400,0,00:59:34
13.4375,400,0,00:59:35
13.375,400,0,00:59:36
13.375,400,0,00:59:38
13.3125,400,0,00:59:39
13.25,400,0,00:59:40
13.25,400,0,00:59:41
13.0625,400,0,00:59:43
13.0,400,0,00:59:44
13.0,400,0,00:59:45
13.0,400,0,00:59:46
12.9375,400,0,00:59:48
12.875,400,0,00:59:49
12.8125,400,0,00:59:50
12.8125,400,0,00:59:51
12.75,400,0,00:59:52
12.75,400,0,00:59:54
12.625,400,0,00:59:55
12.5625,400,0,00:59:56
12.5,400,0,00:59:57
12.4375,400,0,00:59:59
12.4375,400,0,01:00:00
12.375,400,0,01:00:01
12.3125,400,0,01:00:02
12.25,400,0,01:00:04
12.25,400,0,01:00:05
12.1875,400,0,01:00:06
12.0625,400,0,01:00:07
12.0,400,0,01:00:09
11.9375,400,0,01:00:10
11.8125,400,0,01:00:11
11.75,400,0,01:00:12
11.75,400,0,01:00:13
11.625,400,0,01:00:15
11.6875,400,0,01:00:16
11.625,400,0,01:00:17
11.5,400,0,01:00:18
11.4375,400,0,01:00:20
11.375,400,0,01:00:21
11.375,400,0,01:00:22
11.3125,400,0,01:00:23
11.25,400,0,01:00:25
11.25,400,0,01:00:26
11.0625,400,0,01:00:27
11.0,400,0,01:00:28
10.9375,400,0,01:00:29
10.9375,400,0,01:00:31
10.875,400,0,01:00:32
10.8125,400,0,01:00:33
10.6875,400,0,01:00:34
10.625,400,0,01:00:36
10.5625,400,0,01:00:37
10.5625,400,0,01:00:38
10.5,400,0,01:00:39
10.5,400,0,01:00:41
10.4375,400,0,01:00:42
10.375,400,0,01:00:43
10.3125,400,0,01:00:44
10.25,400,0,01:00:46
10.125,400,0,01:00:47
9.875,400,0,01:00:48
9.8125,400,0,01:00:49
9.75,400,0,01:00:50
9.6875,400,0,01:00:52
9.75,400,0,01:00:53
