Temperature,CO2,VOC,Time
-0.375,400,0,00:44:57
-0.4375,400,0,00:44:58
-0.375,400,0,00:45:00
-0.375,400,0,00:45:01
-0.4375,400,0,00:45:02
-0.4375,400,0,00:45:03
-0.4375,400,0,00:45:04
-0.4375,400,0,00:45:06
-0.4375,400,0,00:45:07
-0.4375,400,0,00:45:08
-0.4375,400,0,00:45:09
-0.4375,400,0,00:45:11
-0.4375,400,0,00:45:12
-0.5,400,0,00:45:13
-0.4375,400,0,00:45:14
-0.5,400,0,00:45:16
-0.5,400,0,00:45:17
-0.4375,400,0,00:45:18
-0.5,400,0,00:45:19
-0.5,400,0,00:45:21
-0.5,400,0,00:45:22
-0.5,400,0,00:45:23
-0.5,400,0,00:45:24
-0.5,400,0,00:45:25
-0.5,400,0,00:45:27
-0.5,400,0,00:45:28
-0.5,400,0,00:45:29
-0.5625,400,0,00:45:30
-0.5625,400,0,00:45:32
-0.5625,400,0,00:45:33
-0.5625,400,0,00:45:34
-0.5625,400,0,00:45:35
-0.5625,400,0,00:45:37
-0.5625,400,0,00:45:38
-0.5625,400,0,00:45:39
-0.5625,400,0,00:45:40
-0.5625,400,0,00:45:42
-0.625,400,0,00:45:43
-0.625,400,0,00:45:44
-0.5625,400,0,00:45:45
-0.625,400,0,00:45:46
-0.625,400,0,00:45:48
-0.625,400,0,00:45:49
-0.625,400,0,00:45:50
-0.625,400,0,00:45:51
-0.625,400,0,00:45:53
-0.625,400,0,00:45:54
-0.625,400,0,00:45:55
-0.625,400,0,00:45:56
-0.625,400,0,00:45:58
-0.6875,400,0,00:45:59
-0.6875,400,0,00:46:00
-0.625,400,0,00:46:01
-0.6875,400,0,00:46:03
-0.625,400,0,00:46:04
-0.625,400,0,00:46:05
-0.6875,400,0,00:46:06
-0.6875,400,0,00:46:07
-0.6875,400,0,00:46:09
-0.625,400,0,00:46:10
-0.6875,400,0,00:46:11
-0.6875,400,0,00:46:12
-0.6875,400,0,00:46:14
-0.6875,400,0,00:46:15
-0.625,400,0,00:46:16
-0.6875,400,0,00:46:17
-0.6875,400,0,00:46:19
-0.6875,400,0,00:46:20
-0.6875,400,0,00:46:21
-0.6875,400,0,00:46:22
-0.625,400,0,00:46:24
-0.6875,400,0,00:46:25
-0.6875,400,0,00:46:26
-0.625,400,0,00:46:27
-0.6875,400,0,00:46:28
-0.6875,400,0,00:46:30
-0.625,400,0,00:46:31
-0.6875,400,0,00:46:32
-0.6875,400,0,00:46:33
-0.6875,400,0,00:46:35
-0.6875,400,0,00:46:36
-0.6875,400,0,00:46:37
-0.6875,400,0,00:46:38
-0.625,400,0,00:46:40
-0.6875,400,0,00:46:41
-0.625,400,0,00:46:42
-0.6875,400,0,00:46:43
-0.6875,400,0,00:46:45
-0.625,400,0,00:46:46
-0.625,400,0,00:46:47
-0.6875,400,0,00:46:48
-0.6875,400,0,00:46:49
-0.6875,400,0,00:46:51
-0.625,400,0,00:46:52
